partition,node_name,op_type,depth,ram_style,dataType,folded_shape,elems_per_beat,size_elems,bitwidth,size_bits,size_bytes
5,StreamingFIFO_rtl_64,StreamingFIFO_rtl,2,auto,INT16,"[1, 8, 8, 16, 2]",2,4,16,64,8.0
5,StreamingFIFO_rtl_65,StreamingFIFO_rtl,32,auto,INT8,"[1, 8, 8, 16, 2]",2,64,8,512,64.0
5,StreamingFIFO_rtl_66,StreamingFIFO_rtl,2,auto,INT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_67,StreamingFIFO_rtl,2,auto,INT9,"[1, 8, 8, 32, 1]",1,2,9,18,2.25
5,StreamingFIFO_rtl_68,StreamingFIFO_rtl,2,auto,INT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_69,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_70,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_71,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_72,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 2, 16]",16,32,8,256,32.0
5,StreamingFIFO_rtl_73,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 16, 2]",2,4,8,32,4.0
5,StreamingFIFO_rtl_74,StreamingFIFO_rtl,2,auto,INT15,"[1, 8, 8, 1, 16]",16,32,15,480,60.0
5,StreamingFIFO_rtl_75,StreamingFIFO_rtl,2,auto,INT15,"[1, 8, 8, 1, 8]",8,16,15,240,30.0
5,StreamingFIFO_rtl_76,StreamingFIFO_rtl,2,auto,INT15,"[1, 8, 8, 16, 1]",1,2,15,30,3.75
5,StreamingFIFO_rtl_77,StreamingFIFO_rtl,2,auto,INT15,"[1, 8, 8, 8, 1]",1,2,15,30,3.75
5,StreamingFIFO_rtl_78,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 8, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_79,StreamingFIFO_rtl,2,auto,INT8,"[1, 8, 8, 16, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_80,StreamingFIFO_rtl,2,auto,INT8,"[1, 8, 8, 1, 16]",16,32,8,256,32.0
5,StreamingFIFO_rtl_81,StreamingFIFO_rtl,2,auto,UINT8,"[1, 15, 15, 8, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_82,StreamingFIFO_rtl,32,auto,INT8,"[1, 16, 16, 16]",16,512,8,4096,512.0
5,StreamingFIFO_rtl_83,StreamingFIFO_rtl,2,auto,UINT8,"[1, 15, 15, 1, 8]",8,16,8,128,16.0
5,StreamingFIFO_rtl_84,StreamingFIFO_rtl,32,auto,UINT8,"[1, 17, 17, 1, 8]",8,256,8,2048,256.0
5,StreamingFIFO_rtl_85,StreamingFIFO_rtl,144,auto,INT8,"[1, 18, 18, 1, 16]",16,2304,8,18432,2304.0
5,StreamingFIFO_rtl_86,StreamingFIFO_rtl,800,auto,UINT8,"[1, 17, 17, 8, 1]",1,800,8,6400,800.0
5,StreamingFIFO_rtl_87,StreamingFIFO_rtl,5184,auto,INT8,"[1, 18, 18, 16, 1]",1,5184,8,41472,5184.0
