partition,node_name,op_type,node_kind,MH,MW,PE,SIMD,PE_times_SIMD,log2_MW,weightDataType,inputDataType,outputDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,NumChannels,numSteps,IFMChannels,IFMDim_h,IFMDim_w,OFMDim_h,OFMDim_w,ConvKernelDim_h,ConvKernelDim_w,Stride_h,Stride_w,Dilation_h,Dilation_w,depthwise,parallel_window,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
1,Thresholding_rtl_19,Thresholding_rtl,Thresholding,,,2,,,,INT13,INT13,UINT6,13,13,,,,,4,63,,,,,,,,,,,,,,165,0,13,540,0,0,0,0
1,ConvolutionInputGenerator_rtl_4,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,UINT6,UINT6,,6,,,distributed,,,,4,18,18,16,16,3,3,1,1,1,1,0,0,205,24,0,90,0,0,0,0
1,MVAU_rtl_11,MVAU_rtl,MVAU,4,36,4,12,48,5.17,INT6,UINT6,INT15,6,6,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,646,0,0,434,4,0,0,24
1,Thresholding_rtl_20,Thresholding_rtl,Thresholding,,,2,,,,INT15,INT15,UINT8,15,15,,,,,4,255,,,,,,,,,,,,,,217,0,17,797,0,4,0,0
1,MVAU_rtl_12,MVAU_rtl,MVAU,16,4,16,2,32,2.0,INT4,UINT8,INT15,4,8,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,726,0,0,1084,2,0,0,16
1,Thresholding_rtl_21,Thresholding_rtl,Thresholding,,,8,,,,INT15,INT15,INT8,15,15,,,,,16,255,,,,,,,,,,,,,,843,0,65,3165,0,16,0,0
1,Thresholding_rtl_22,Thresholding_rtl,Thresholding,,,1,,,,INT10,INT9,INT8,10,9,,,,,16,255,,,,,,,,,,,,,,76,0,13,292,1,4,0,0
1,Thresholding_rtl_23,Thresholding_rtl,Thresholding,,,1,,,,INT9,INT8,UINT6,9,8,,,,,16,63,,,,,,,,,,,,,,57,0,11,130,0,0,0,0
1,Thresholding_rtl_24,Thresholding_rtl,Thresholding,,,1,,,,UINT6,UINT6,INT8,6,6,,,,,16,255,,,,,,,,,,,,,,69,0,14,205,0,2,0,0
1,MVAU_rtl_13,MVAU_rtl,MVAU,4,16,2,16,32,4.0,INT6,UINT6,INT14,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,480,101,0,440,0,0,0,16
1,Thresholding_rtl_25,Thresholding_rtl,Thresholding,,,2,,,,INT14,INT14,UINT6,14,14,,,,,4,63,,,,,,,,,,,,,,192,0,13,569,0,0,0,0
1,ConvolutionInputGenerator_rtl_5,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,UINT6,UINT6,,6,,,distributed,,,,4,18,18,16,16,3,3,1,1,1,1,0,0,217,24,0,100,0,0,0,0
1,MVAU_rtl_14,MVAU_rtl,MVAU,4,36,4,12,48,5.17,INT6,UINT6,INT16,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,749,120,0,808,0,0,0,24
1,Thresholding_rtl_26,Thresholding_rtl,Thresholding,,,2,,,,INT16,INT16,UINT6,16,16,,,,,4,63,,,,,,,,,,,,,,182,0,13,613,0,2,0,0
1,MVAU_rtl_15,MVAU_rtl,MVAU,16,4,16,2,32,2.0,INT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,656,50,0,1180,0,0,0,16
1,Thresholding_rtl_27,Thresholding_rtl,Thresholding,,,8,,,,INT15,INT15,INT8,15,15,,,,,16,255,,,,,,,,,,,,,,843,0,65,3176,0,16,0,0
1,Thresholding_rtl_28,Thresholding_rtl,Thresholding,,,1,,,,INT10,INT9,INT8,10,9,,,,,16,255,,,,,,,,,,,,,,76,0,13,291,1,4,0,0
1,Thresholding_rtl_29,Thresholding_rtl,Thresholding,,,1,,,,INT9,INT8,UINT6,9,8,,,,,16,63,,,,,,,,,,,,,,57,0,11,130,0,0,0,0
1,ConvolutionInputGenerator_rtl_6,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,UINT6,UINT6,,6,,,distributed,,,,16,16,16,8,8,2,2,2,2,1,1,0,0,262,64,0,98,0,0,0,0
1,MVAU_rtl_16,MVAU_rtl,MVAU,8,64,8,32,256,6.0,INT6,UINT6,INT16,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,3478,366,0,2182,0,0,0,128
1,MVAU_rtl_17,MVAU_rtl,MVAU,32,16,2,16,32,4.0,UINT7,UINT6,INT14,7,6,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,448,56,0,352,3,1,0,16
1,Thresholding_rtl_30,Thresholding_rtl,Thresholding,,,1,,,,INT16,INT16,UINT6,16,16,,,,,8,63,,,,,,,,,,,,,,100,0,7,307,0,3,0,0
1,Thresholding_rtl_31,Thresholding_rtl,Thresholding,,,1,,,,INT14,INT14,INT8,14,14,,,,,32,255,,,,,,,,,,,,,,86,0,9,377,3,4,0,0
1,ConvolutionInputGenerator_rtl_7,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,UINT6,UINT6,,6,,,distributed,,,,8,10,10,8,8,3,3,1,1,1,1,0,0,225,24,0,90,0,0,0,0
1,MVAU_rtl_18,MVAU_rtl,MVAU,8,72,8,8,64,6.17,INT6,UINT6,INT16,6,6,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,1087,191,0,1419,0,0,0,32
1,Thresholding_rtl_32,Thresholding_rtl,Thresholding,,,1,,,,INT16,INT16,UINT8,16,16,,,,,8,255,,,,,,,,,,,,,,114,0,9,413,0,5,0,0
