source,partition,node_name,op_type,MH,MW,Channels,Kernel,IFMChannels,IFMDim,OFMDim,ConvKernelDim,Stride,Dilation,depthwise,parallel_window,NumChannels,numSteps,ActVal,PE,SIMD,PE_folding_json,SIMD_folding_json,pe_simd_landed_matches_json,weightDataType,inputDataType,outputDataType,accDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,runtime_writeable_weights,PE_times_SIMD,log2_MW,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
separable_alpha025_partition4,4,ConvolutionInputGenerator_rtl_4,ConvolutionInputGenerator_rtl,,,,,8,40x8,8x8,3x1,1x1,16x16,0,0,,,,,1,,,,,UINT6,UINT6,,,6,,,distributed,,,,,561,264,0,99,0,0,0,0
separable_alpha025_partition4,4,MVAU_hls_9,MVAU_hls,8,24,,,,,,,,,,,,,,8,2,8,2,True,INT6,UINT6,UINT4,INT15,6,6,dsp,True,block,internal_decoupled,0,16,4.58,1324,0,0,540,1,1,0,16
separable_alpha025_partition4,4,ConvolutionInputGenerator_rtl_5,ConvolutionInputGenerator_rtl,,,,,8,8x40,8x8,1x3,1x1,16x16,0,0,,,,,1,,,,,UINT4,UINT4,,,4,,,distributed,,,,,236,40,0,89,0,0,0,0
separable_alpha025_partition4,4,MVAU_hls_10,MVAU_hls,8,24,,,,,,,,,,,,,,8,2,8,2,True,INT4,UINT4,UINT4,INT11,4,4,dsp,True,block,internal_decoupled,0,16,4.58,367,0,0,418,1,0,0,16
separable_alpha025_partition4,4,MVAU_hls_11,MVAU_hls,32,8,,,,,,,,,,,,,,2,8,2,8,True,INT4,UINT4,INT8,INT10,4,4,dsp,True,block,internal_decoupled,0,16,3.0,7222,0,0,5055,1,0,0,16
separable_alpha025_partition4,4,Thresholding_rtl_9,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,INT10,INT9,INT8,,10,9,,,,,0,,,73,0,9,324,2,4,0,0
separable_alpha025_partition4,4,Thresholding_rtl_10,Thresholding_rtl,,,,,,,,,,,,,32,63,0,1,,,,,INT9,INT8,UINT6,,9,8,,,,,0,,,64,0,14,154,0,1,0,0
separable_alpha025_partition4,4,Thresholding_rtl_11,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,UINT6,UINT6,INT8,,6,6,,,,,0,,,56,0,17,208,1,3,0,0
separable_alpha025_partition4,4,MVAU_hls_12,MVAU_hls,8,32,,,,,,,,,,,,,,4,4,4,4,True,INT6,UINT6,UINT4,INT16,6,6,dsp,True,auto,internal_decoupled,0,16,5.0,1063,48,0,851,0,0,0,16
separable_alpha025_partition4,4,ConvolutionInputGenerator_rtl_6,ConvolutionInputGenerator_rtl,,,,,8,12x8,8x8,3x1,1x1,2x2,0,0,,,,,1,,,,,UINT4,UINT4,,,4,,,distributed,,,,,212,40,0,83,0,0,0,0
