case_id,mean_branch_purity,impure_branch_frac,n_branches,n_components_LAD,largest_component_ratio_LAD,n_components_RCA,largest_component_ratio_RCA,n_components_LCX,largest_component_ratio_LCX,spur_count,spur_density,n_fp_components,n_catheter_like_fp,catheter_like_fp_pixel_frac
test_298,1.0,0.0,6,0,,0,,8,0.459373240758116,5,0.35714285714285715,10,8,0.9561602418745276
test_299,1.0,0.0,9,4,0.9745069745069745,0,,0,,6,0.42857142857142855,19,15,0.5645390070921986
test_3,1.0,0.0,16,2,0.7178423236514523,0,,2,0.9998811363366219,3,0.15789473684210525,21,12,0.26599568655643424
test_30,0.9970238095238095,0.07692307692307693,13,0,,6,0.9974859795010637,7,0.5116851168511685,8,0.23529411764705882,12,6,0.19401330376940132
test_300,1.0,0.0,7,0,,8,0.8624382207578254,0,,7,0.5,12,7,0.5917667238421955
test_31,1.0,0.0,13,2,0.6937354988399071,0,,3,0.972929470295581,10,0.5555555555555556,12,6,0.4586255259467041
test_32,1.0,0.0,18,2,0.9389312977099237,0,,14,0.716650987770461,7,0.2692307692307692,10,4,0.8098290598290598
test_33,0.9814814814814815,0.07692307692307693,13,1,1.0,0,,5,0.7479632063074901,8,0.5,10,7,0.4993726474278545
test_34,1.0,0.0,8,0,,4,0.983723482077542,0,,2,0.2,6,4,0.5679611650485437
test_35,1.0,0.0,2,4,0.6628279710316989,0,,0,,1,0.25,12,10,0.9153822907222726
test_36,1.0,0.0,8,0,,2,0.9402542372881356,0,,2,0.2,9,4,0.1904176904176904
test_37,0.997093023255814,0.05,20,8,0.6354807381029459,8,0.8314606741573034,6,0.9516336506303061,14,0.45161290322580644,2,0,0.0
test_38,0.9917695473251029,0.06666666666666667,15,1,1.0,0,,12,0.6529402589299641,4,0.2,19,14,0.2579250720461095
test_39,1.0,0.0,4,0,,1,1.0,0,,0,0.0,7,6,0.9047619047619048
test_4,0.8818040435458787,0.2777777777777778,18,9,0.5618604651162791,0,,6,0.45899674713234034,5,0.23809523809523808,6,1,0.026813880126182965
test_40,0.9876325088339223,0.12,25,8,0.39677216516453573,0,,10,0.9108658743633277,13,0.3333333333333333,17,5,0.03912319644839068
test_41,1.0,0.0,12,0,,14,0.9008593252705284,0,,9,0.4090909090909091,6,5,0.8559322033898306
test_42,0.9073724007561437,0.25,8,5,0.4399631251440424,0,,4,0.45560747663551404,6,0.5,7,2,0.06461538461538462
