stem,threshold,view,dice_f1,precision,recall_sensitivity,accuracy
test_125,0.5,6x6 only,0.6367509745257576,0.6453509739054661,0.628377169438847,0.984714508056603
test_125,0.5,5x5 only,0.49794551818558974,0.4332053488674259,0.5854356772220694,0.9748306274413691
test_125,0.5,OR (6x6 | 5x5),0.5104528430367651,0.4120492524181925,0.6706029701186785,0.9725761413573847
test_125,0.5,confidence blend,0.6015147367455046,0.613780260706492,0.5897298264437472,0.9833412170409781
test_125,0.25,6x6 only,0.6062837506131514,0.5585707824505374,0.6629092860965058,0.981643676757775
test_125,0.25,5x5 only,0.47707193941910175,0.3922518159801772,0.608695652172824,0.9715499877929317
test_125,0.25,OR (6x6 | 5x5),0.47644585288532115,0.3612754158961541,0.6994095544807668,0.9672279357909787
test_125,0.25,confidence blend,0.5038790797214393,0.40232831357427923,0.6740025049191734,0.9717025756835567
test_126,0.5,6x6 only,0.6065408523266488,0.6848128477486818,0.544326062920623,0.9463958740234013
test_126,0.5,5x5 only,0.5464922564322371,0.7076542026200802,0.4451201125739043,0.9439239501952764
test_126,0.5,OR (6x6 | 5x5),0.6474287636841929,0.6674136919050918,0.628605890038884,0.9480323791503544
test_126,0.5,confidence blend,0.6361198033078241,0.7162451239456925,0.5721178007837109,0.9503173828124637
test_126,0.25,6x6 only,0.6217729310937882,0.6585914226290491,0.5888531510701633,0.9456214904784795
test_126,0.25,5x5 only,0.5773316554971827,0.6910950746159243,0.4957282138905941,0.944904327392542
test_126,0.25,OR (6x6 | 5x5),0.6548789435068099,0.637814405487501,0.6728816966525918,0.9461669921874639
test_126,0.25,confidence blend,0.6512806221972864,0.6566538952742494,0.6459945723185013,0.9474906921386357
test_127,0.5,6x6 only,0.7332347660783962,0.7218006029725316,0.7450370211388077,0.9807281494140251
test_127,0.5,5x5 only,0.6982050342766768,0.6814096016336246,0.7158493400571779,0.9780006408691033
test_127,0.5,OR (6x6 | 5x5),0.7158374045436058,0.6414484869086693,0.8097435347131561,0.9771461486816033
test_127,0.5,confidence blend,0.7458973001584193,0.7360777348231782,0.7559824015444189,0.9816894531249625
test_127,0.25,6x6 only,0.7304076810934849,0.6870626063923897,0.7795900847722077,0.9795417785644157
test_127,0.25,5x5 only,0.6896791496966873,0.6419787332402755,0.7450370211388077,0.9761657714843377
test_127,0.25,OR (6x6 | 5x5),0.6995087092448863,0.5991125392084774,0.8403262152582461,0.9743347167968378
test_127,0.25,confidence blend,0.7116083916080598,0.6291319759289183,0.8189719927022009,0.9764022827148064
test_128,0.5,6x6 only,0.2895650398201503,0.20573086688414527,0.4887127347915066,0.9469146728515263
test_128,0.5,5x5 only,0.4483763530389007,0.3211809438601944,0.742374633808819,0.9595642089843384
test_128,0.5,OR (6x6 | 5x5),0.3844530722483185,0.2545688257976557,0.7849388247444685,0.9443588256835577
test_128,0.5,confidence blend,0.33788180449650956,0.23522650439470233,0.5995174909519223,0.9479866027831669
test_128,0.25,6x6 only,0.2754964423567523,0.18866242038204542,0.5104256419084776,0.9405708312987922
test_128,0.25,5x5 only,0.44109202394255626,0.3073375830731674,0.780975357572323,0.9561882019042603
test_128,0.25,OR (6x6 | 5x5),0.3662278146722722,0.23638824827021138,0.8125107702898285,0.9377479553222298
test_128,0.25,confidence blend,0.370821404088725,0.2420509580963139,0.792348785109784,0.9404792785644172
test_129,0.5,6x6 only,0.5850155279497428,0.5441415417935653,0.6325288562421143,0.98368835449215
test_129,0.5,5x5 only,0.5497463909475714,0.5135775469281691,0.5913955928633968,0.9823913574218375
test_129,0.5,OR (6x6 | 5x5),0.5130957148574183,0.4148963730564574,0.6721930745001633,0.9768104553222283
test_129,0.5,confidence blend,0.5830112003165993,0.5524042073618475,0.6172088142694288,0.9839515686034781
test_129,0.25,6x6 only,0.5714285714280675,0.4927756653984901,0.6799580272808395,0.981460571289025
test_129,0.25,5x5 only,0.5321843123456452,0.4579990918715635,0.6350472193061174,0.9797058105468376
