case_id,dice_original,dice_thr0.08_cap5000,precision_added_thr0.08_cap5000,dice_thr0.05_cap20000,precision_added_thr0.05_cap20000
test_30,0.8262891477012114,0.8216115131308148,0.22073578595317725,0.8204715538742977,0.2828828828828829
test_300,0.7321465678459983,0.742688856927099,0.8353658536585366,0.7495243272623338,0.8243727598566308
test_31,0.6641959859456783,0.6638445256875775,0.0,0.6629860777721253,0.09433962264150944
test_32,0.7232664732346313,0.7273486778893323,0.6708860759493671,0.7270822859055107,0.8850574712643678
test_33,0.7838856400249722,0.7837385822709588,0.38461538461538464,0.7797474811876295,0.2808219178082192
test_34,0.8824605733197852,0.8837249782411803,1.0,0.8816116588076454,0.4148936170212766
test_35,0.7135971958516769,0.7060931899636516,0.15234375,0.7029879483700328,0.13069908814589665
test_36,0.8494683827638154,0.8466981132069598,0.25833333333333336,0.8435477206990473,0.2345132743362832
test_37,0.4856273764254862,0.536339407908567,0.723055934515689,0.5399488200166761,0.659041394335512
test_38,0.7779607197455145,0.7700590482802072,0.13432835820895522,0.770839284693612,0.2635814889336016
test_39,0.9296823395178467,0.9296823395178467,,0.9319938176192295,0.5798816568047337
test_4,0.7869608165948925,0.7875720970721583,0.42948717948717946,0.7881104948571492,0.42406876790830944
test_40,0.710202803225781,0.7093764577823397,0.2967032967032967,0.7089529590285626,0.33496332518337407
test_41,0.8192339487456467,0.8240049325198163,0.8395061728395061,0.8278638193349063,0.8581560283687943
test_42,0.737548435874929,0.7440029985000525,0.7472527472527473,0.7447145385109949,0.6153846153846154
test_43,0.8303044144993865,0.8315704350636158,0.48872180451127817,0.8317067671592,0.46984924623115576
test_44,0.8912660798904655,0.8936285097180162,0.8260869565217391,0.894616727076259,0.640625
test_45,0.8898485493577702,0.8952712852244815,0.6683168316831684,0.8930697785181632,0.5211267605633803
test_46,0.7414932680534018,0.7611303344862969,0.541,0.7644630436007666,0.5219657483246463
test_47,0.8201565975075953,0.8170628183359153,0.09316770186335403,0.8153139541908457,0.11439114391143912
test_48,0.8861490031473727,0.8887144259071712,0.972972972972973,0.8885008407703476,0.5280373831775701
test_49,0.6978205379928674,0.69126389247823,0.09137055837563451,0.6910705095209141,0.1509433962264151
test_5,0.7527659574462746,0.7559175717065191,0.4621212121212121,0.755696726970891,0.4319371727748691
test_50,0.14811048974724944,0.1480352303520528,0.0,0.14824843459105053,0.125
test_51,0.7751190746196557,0.7727966532869168,0.0,0.7717495624678079,0.0
test_52,0.8160102602464511,0.8071175880454051,0.035398230088495575,0.8034448353721559,0.045454545454545456
test_53,0.9383603765547385,0.9380104810911014,0.38095238095238093,0.938798533420636,0.5037037037037037
test_54,0.7139840831569952,0.7139840831569952,,0.70262133402507,0.21914357682619648
test_55,0.8218013856805341,0.8139407244778504,0.009345794392523364,0.8131528749197809,0.15217391304347827
test_56,0.6905856727972588,0.7055459581815061,0.8301158301158301,0.7068078310754676,0.7071240105540897
test_57,0.8169966199895538,0.8096601756387841,0.09090909090909091,0.8023036253768859,0.08016877637130802
test_58,0.7884592645141371,0.7900900370736244,0.569620253164557,0.7872365339573845,0.3313253012048193
test_59,0.8538002752711218,0.8573496913812172,0.9444444444444444,0.8595870879430973,0.9517241379310345
test_6,0.7496061338090801,0.74326805385519,0.26501766784452296,0.7396446726051942,0.2551390568319226
test_60,0.9044236164999675,0.907385419139808,0.7204301075268817,0.9089295224564122,0.7094594594594594
test_61,0.7966193130724719,0.7973357015978708,0.427536231884058,0.7996108949409271,0.489247311827957
test_62,0.7034650455924201,0.7038599027992514,0.3738738738738739,0.705957209893937,0.4182590233545648
test_63,0.7441953031705292,0.747020902519537,0.44876325088339225,0.7467511476040947,0.4223918575063613
test_64,0.7110655737699714,0.7062150989914379,0.088,0.704687717345455,0.2913165266106443
test_65,0.8646932646928938,0.8693799275513022,0.7870967741935484,0.8717970437504249,0.7109634551495017
test_66,0.6960401561622085,0.6911371391674894,0.03529411764705882,0.6873512721941356,0.06547619047619048
test_67,0.7212160413963764,0.7009619406098901,0.024305555555555556,0.6979907264289562,0.0979020979020979
test_68,0.8307623518884933,0.8322494827070408,0.504424778761062,0.8310656762515032,0.42696629213483145
test_69,0.8466786355465629,0.8439210088022318,0.19607843137254902,0.8395936687918265,0.15315315315315314
test_7,0.7312729948486156,0.7328078675242369,0.4100418410041841,0.7349742415564289,0.4326424870466321
test_70,0.8346405931010694,0.8450286198846246,0.8031496062992126,0.8488164124136256,0.7575757575757576
test_71,0.8381672423901204,0.8306684646498229,0.16521739130434782,0.8305745510316159,0.2236842105263158
test_72,0.20466444550165477,0.27251943301263715,0.9651162790697675,0.29970793080139363,0.9518072289156626
test_73,0.6669374492279988,0.6675051730431015,0.5925925925925926,0.6689066105328628,0.6265060240963856
test_74,0.6574621959228699,0.6310362173030294,0.025936599423631124,0.6250622820121761,0.02127659574468085
test_75,0.645550689028605,0.6282755049194053,0.0391156462585034,0.6284040694683853,0.0972972972972973
test_76,0.633403805495936,0.633403805495936,,0.6579234972668607,0.7155555555555555
test_77,0.6124524761760665,0.6159317904990909,0.4375,0.61593467652287,0.38738738738738737
