case_id,dice_original,dice_window,dice_raster
test_38,0.7779607197455145,0.774979500995212,0.7759793572596904
test_39,0.9296823395178467,0.930809321271832,0.9298919567821549
test_4,0.7869608165948925,0.7887993945614418,0.7874952261439317
test_40,0.710202803225781,0.7102621955960825,0.7103270626802317
test_41,0.8192339487456467,0.8192339487456467,0.8192339487456467
test_42,0.737548435874929,0.7361398233407854,0.7375578430439724
test_43,0.8303044144993865,0.8301630434779923,0.8300792072750643
test_44,0.8912660798904655,0.8803304904039442,0.8901484480419836
test_45,0.8898485493577702,0.8937972768527117,0.8918705603783061
test_46,0.7414932680534018,0.7445777293101026,0.7427529626248904
test_47,0.8201565975075953,0.8193988073503653,0.8197320341045008
test_48,0.8861490031473727,0.8843892880464503,0.8861687504085316
test_49,0.6978205379928674,0.6993025226512617,0.6977748691094909
test_5,0.7527659574462746,0.739778476684849,0.7497536945807531
test_50,0.14811048974724944,0.14811048974724944,0.14811048974724944
test_51,0.7751190746196557,0.7735838379261085,0.7745481330382602
test_52,0.8160102602464511,0.8156138196182967,0.8156376842550653
test_53,0.9383603765547385,0.9383603765547385,0.9383603765547385
test_54,0.7139840831569952,0.7106050887317134,0.7116036365588726
test_55,0.8218013856805341,0.8172714745054503,0.8202102157469848
test_56,0.6905856727972588,0.690622366678289,0.6910672223224672
test_57,0.8169966199895538,0.815264527319249,0.8155789067764238
test_58,0.7884592645141371,0.7771767579824479,0.7868929750113232
test_59,0.8538002752711218,0.8543592878425711,0.8543919306151934
test_6,0.7496061338090801,0.7365679264551906,0.7455245628638918
test_60,0.9044236164999675,0.9028231797914396,0.9053183877886326
test_61,0.7966193130724719,0.7924561871712548,0.7961252130228754
test_62,0.7034650455924201,0.704510486678798,0.7035416160139786
test_63,0.7441953031705292,0.742016363156016,0.7442045304008847
test_64,0.7110655737699714,0.7074292283368965,0.7108784176841835
test_65,0.8646932646928938,0.8588489391433283,0.8649642841862932
test_66,0.6960401561622085,0.6877180099130826,0.6944109741396844
test_67,0.7212160413963764,0.7166577396885734,0.7195869635358506
test_68,0.8307623518884933,0.8313719648437126,0.8313719648437126
test_69,0.8466786355465629,0.8461078560315124,0.8467153284661401
test_7,0.7312729948486156,0.7330596961181443,0.730137789504009
test_70,0.8346405931010694,0.8429787234033584,0.8393793472436175
test_71,0.8381672423901204,0.8331726133070825,0.8364885892110759
test_72,0.20466444550165477,0.2392723880591435,0.207224334600268
test_73,0.6669374492279988,0.6675868788565006,0.6673704726325047
test_74,0.6574621959228699,0.6535350900069743,0.6559266535682307
test_75,0.645550689028605,0.645102748865415,0.6451716222705145
test_76,0.633403805495936,0.6330469080143217,0.6333145434038425
test_77,0.6124524761760665,0.6103129305251868,0.6116370808675485
test_78,0.8285475618665403,0.828703463315422,0.8299468583928155
test_79,0.7466152940542908,0.7421674101281857,0.7441984245258972
test_8,0.7656746605023024,0.7615666513967237,0.7652043581018244
test_80,0.7444636251537635,0.742153124082946,0.7432618532359122
test_81,0.821666395971397,0.8241491085892835,0.8233863120330657
test_82,0.6189396261105614,0.618112884485649,0.6183220121163832
test_83,0.662039617001539,0.6639348408961077,0.6638672467870769
test_84,0.7172966137412411,0.7150736577527647,0.7167087188108237
test_85,0.7371071366550294,0.7390591281823573,0.738181818181179
test_86,0.7901560990487668,0.7957226768408073,0.7924375285109269
test_87,0.39255236617456835,0.3877239801746326,0.39249806651122876
test_88,0.312156862744792,0.32164426261414214,0.31415149735729675
test_89,0.6181510796890661,0.6181510796890661,0.6181510796890661
test_9,0.7303213786675308,0.6926179715212651,0.7262008509762002
test_90,0.8533797450487542,0.8419158361014941,0.850952314099466
test_91,0.7856320515766477,0.7857252494238022,0.7857252494238022
test_92,0.7898911639911548,0.7809798270886338,0.7893240392545269
test_93,0.7208089745609726,0.7214071620123668,0.7215469613253973
test_94,0.6784869976352047,0.6782978723397038,0.680222602738998
test_95,0.7806531446705866,0.7813120205971242,0.780529737279976
test_96,0.8928698752220205,0.8876929863247571,0.8926192379421861
test_97,0.8704204204197669,0.8704204204197669,0.8704204204197669
test_98,0.8836512034639096,0.88423849858754,0.8835468308094463
test_99,0.9394722524476744,0.9402439024383873,0.9407533084486319
