seq,layer,stage,op_type,cin,hin,win,cout,hout,wout,kh,kw,sh,sw,dh,dw,A,W,Q,P,M,total_pe,total_simd_lanes,swu_bram18,wm_bram18,swu_lut,mvu_lut,mp_lut,total_lut,note
158,stage3.0.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
162,stage3.1.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
165,stage3.1.conv,stage3,Conv2d,32,64,64,32,64,64,3,3,1,1,2,2,8,8,288,32,4096,131072,37748736,196608,2048,1744896,2657511314,0,2659256210,
168,stage3.1.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
172,stage3.2.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
175,stage3.2.conv.0,stage3,Conv2d,32,64,64,32,64,64,5,1,1,1,1,1,8,8,160,32,4096,131072,20971520,196608,1152,1744896,1476395308,0,1478140204,
178,stage3.2.conv.3,stage3,Conv2d,32,64,64,32,64,64,1,5,1,1,1,1,8,8,160,32,4096,131072,20971520,65536,1152,1744896,1476395308,0,1478140204,
181,stage3.2.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
185,stage3.3.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
188,stage3.3.conv,stage3,Conv2d,32,64,64,32,64,64,3,3,1,1,4,4,8,8,288,32,4096,131072,37748736,327680,2048,1744896,2657511314,0,2659256210,
191,stage3.3.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
195,stage3.4.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
198,stage3.4.conv,stage3,Conv2d,32,64,64,32,64,64,3,3,1,1,1,1,8,8,288,32,4096,131072,37748736,131072,2048,1744896,2657511314,0,2659256210,
201,stage3.4.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
205,stage3.5.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
208,stage3.5.conv,stage3,Conv2d,32,64,64,32,64,64,3,3,1,1,8,8,8,8,288,32,4096,131072,37748736,589824,2048,1744896,2657511314,0,2659256210,
211,stage3.5.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
215,stage3.6.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
218,stage3.6.conv.0,stage3,Conv2d,32,64,64,32,64,64,5,1,1,1,1,1,8,8,160,32,4096,131072,20971520,196608,1152,1744896,1476395308,0,1478140204,
221,stage3.6.conv.3,stage3,Conv2d,32,64,64,32,64,64,1,5,1,1,1,1,8,8,160,32,4096,131072,20971520,65536,1152,1744896,1476395308,0,1478140204,
224,stage3.6.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
228,stage3.7.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
231,stage3.7.conv,stage3,Conv2d,32,64,64,32,64,64,3,3,1,1,16,16,8,8,288,32,4096,131072,37748736,1114112,2048,1744896,2657511314,0,2659256210,
234,stage3.7.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,4096,524288,16777216,65536,1024,1744896,1181116306,0,1182861202,
238,up4.main_proj.0,up4,Conv2d,128,64,64,64,64,64,1,1,1,1,1,1,8,8,128,64,4096,262144,33554432,237568,1856,1744896,2362232313,0,2363977209,
240,up4.reduce.0,up4,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,4096,131072,16777216,237568,928,1744896,1181116306,0,1182861202,
243,up4.up.0,up4,ConvTranspose2d(as zero-insert+conv),32,64,64,32,128,128,2,2,1,1,1,1,8,8,128,32,16384,524288,67108864,393216,928,6979584,4724464326,0,4731443910,zero-inserted+padded to 129x129 then regular 2x2 stride-1 conv
246,up4.expand.0,up4,Conv2d,32,128,128,64,128,128,1,1,1,1,1,1,8,8,32,64,16384,1048576,33554432,262144,512,6979584,2362232313,0,2369211897,
