case_id,category,gt_vessel_px,passthrough_dice_f1,passthrough_precision,passthrough_recall_sensitivity,passthrough_accuracy,refinement_dice_f1,refinement_precision,refinement_recall_sensitivity,refinement_accuracy,gap_recovery_rate,n_disagreement_px
test_104_discont_007,discont,769,0.6892109500749661,0.9048625792620536,0.5565669700837897,0.9581163194434047,0.775714285708745,0.8605388272446824,0.7061118335408828,0.9659288194433963,0.35751295336787564,386
test_104_discont_008,discont,769,0.7846039970334227,0.9106529209465524,0.6892067620196461,0.9684244791656158,0.8417366946719766,0.9119878603806982,0.7815344603279384,0.975477430554497,0.36769759450171824,291
test_104_discont_009,discont,782,0.8153409090851184,0.9169329073335953,0.7340153452591558,0.9717881944433899,0.8581267217571755,0.9298507462547784,0.7966751918056691,0.9776475694433835,0.3384615384615385,260
test_104_discont_010,discont,1945,0.9510235812361985,0.9587251828581049,0.9434447300722703,0.9794921874989371,0.9475065616773032,0.9678284182253736,0.928020565547928,0.9782986111100495,0.2804232804232804,189
test_104_discont_011,discont,2264,0.9592518370052121,0.9672204759723071,0.9514134275576351,0.980143229165603,0.9561284486635999,0.9796107506905487,0.933745583034745,0.9789496527767154,0.36065573770491804,183
test_104_discont_012,discont,1522,0.9653102068013165,0.9803523035163934,0.9507227332394829,0.9887152777767049,0.9423472889466632,0.9863505747055579,0.9021024967089218,0.981770833332268,0.20192307692307693,104
test_104_discont_013,discont,1496,0.965704584037468,0.9813664596205566,0.950534759351935,0.9890407986100378,0.9436077057760295,0.9911699779176515,0.9004010695126979,0.9825303819433783,0.21782178217821782,101
test_104_discont_014,discont,2229,0.9344637946816351,0.9550351288011474,0.9147599820506293,0.9689670138878375,0.9370629370607528,0.9752547307085141,0.9017496635221994,0.9707031249989466,0.27972027972027974,286
test_104_discont_015,discont,2268,0.9525281519078107,0.9540026536888369,0.9510582010540077,0.9766710069433846,0.9564631956890565,0.9739488116957316,0.9395943562568801,0.9789496527767154,0.40930232558139534,215
test_104_empty_000,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_104_empty_001,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_104_empty_002,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
test_104_empty_004,empty,0,0.0,0.0,0.0,0.9999999999989149,0.0,0.0,0.0,0.9999999999989149,,0
